,Industry_code_NZSIOC,Year,Additions to fixed assets,Closing stocks,Current assets,Current liabilities,Current ratio,Depreciation,Disposals of fixed assets,Fixed tangible assets,"Government funding, grants and subsidies",Indirect taxes,Interest and donations,"Interest, dividends and donations",Liabilities structure,Non-operating expenses,Non-operating income,Opening stocks,Other assets,Other liabilities,Other purchases and operating expenses,Purchases and other operating expenses,Purchases of goods bought for resale,Quick ratio,Redundancy and severance,Return on equity,Return on total assets,Salaries and wages paid,Sales of goods not further processed,Sales of other goods and services,Shareholders funds or owners equity,Surplus before income tax,Surplus per employee count,Total assets,Total equity and liabilities,Total expenditure,Total income,Total income per employee count(3),Liability,Leverage ratio
170,EE12,2015,369.0,198.0,3412.0,2327.0,147.0,289.0,60.0,1558.0,0.0,50.0,88.0,34.0,44.0,48.0,13.0,172.0,847.0,957.0,0.0,7276.0,0.0,138.0,4.0,25.0,11.0,2393.0,0.0,0.0,2533.0,645.0,18900.0,8.668539943910762,5817.0,10144.0,10762.0,315900.0,3284.0,1.296486379786814
171,EE121,2013,442.0,167.0,2631.0,2130.0,124.0,240.0,117.0,1445.0,0.0,49.0,67.0,28.0,38.0,17.0,19.0,167.0,784.0,867.0,0.0,6802.0,0.0,116.0,5.0,24.0,9.0,2121.0,0.0,0.0,1862.0,450.0,14500.0,8.488587934405903,4859.0,9297.0,9747.0,313800.0,2997.0,1.6095596133190118
172,EE121,2014,429.0,179.0,3042.0,2199.0,138.0,243.0,84.0,1546.0,0.0,52.0,68.0,30.0,43.0,29.0,20.0,176.0,734.0,809.0,0.0,7062.0,0.0,130.0,3.0,21.0,9.0,2202.0,0.0,0.0,2314.0,491.0,15300.0,8.579604451537634,5322.0,9656.0,10145.0,316400.0,3008.0,1.299913569576491
173,EE121,2015,369.0,198.0,3412.0,2327.0,147.0,289.0,60.0,1558.0,0.0,50.0,88.0,34.0,44.0,48.0,13.0,172.0,847.0,957.0,0.0,7276.0,0.0,138.0,4.0,25.0,11.0,2393.0,0.0,0.0,2533.0,645.0,18900.0,8.668539943910762,5817.0,10144.0,10762.0,315900.0,3284.0,1.296486379786814
174,EE13,2013,992.0,1461.0,5528.0,4420.0,125.0,393.0,357.0,3236.0,0.0,102.0,230.0,70.0,28.0,224.0,70.0,1495.0,1475.0,3002.0,0.0,8700.0,0.0,92.0,10.0,35.0,10.0,3890.0,0.0,0.0,2816.0,986.0,14900.0,9.233959237574817,10239.0,13539.0,14559.0,220100.0,7422.0,2.635653409090909
175,EE13,2014,953.0,1722.0,6295.0,5483.0,115.0,395.0,372.0,3840.0,1.0,105.0,254.0,71.0,27.0,200.0,134.0,1559.0,1724.0,3119.0,0.0,10148.0,0.0,83.0,7.0,45.0,12.0,4126.0,0.0,0.0,3256.0,1463.0,20300.0,9.380758024267314,11858.0,15228.0,16529.0,229400.0,8602.0,2.641891891891892
176,EE13,2015,1100.0,2365.0,7298.0,5622.0,130.0,436.0,375.0,4029.0,1.0,107.0,282.0,73.0,31.0,222.0,68.0,2006.0,1810.0,3486.0,0.0,10687.0,0.0,88.0,2.0,39.0,12.0,4453.0,0.0,0.0,4030.0,1562.0,20800.0,9.483264073452418,13138.0,16188.0,17391.0,231500.0,9108.0,2.260049627791563
177,EE131,2013,992.0,1461.0,5528.0,4420.0,125.0,393.0,357.0,3236.0,0.0,102.0,230.0,70.0,28.0,224.0,70.0,1495.0,1475.0,3002.0,0.0,8700.0,0.0,92.0,10.0,35.0,10.0,3890.0,0.0,0.0,2816.0,986.0,14900.0,9.233959237574817,10239.0,13539.0,14559.0,220100.0,7422.0,2.635653409090909
178,EE131,2014,953.0,1722.0,6295.0,5483.0,115.0,395.0,372.0,3840.0,1.0,105.0,254.0,71.0,27.0,200.0,134.0,1559.0,1724.0,3119.0,0.0,10148.0,0.0,83.0,7.0,45.0,12.0,4126.0,0.0,0.0,3256.0,1463.0,20300.0,9.380758024267314,11858.0,15228.0,16529.0,229400.0,8602.0,2.641891891891892
179,EE131,2015,1100.0,2365.0,7298.0,5622.0,130.0,436.0,375.0,4029.0,1.0,107.0,282.0,73.0,31.0,222.0,68.0,2006.0,1810.0,3486.0,0.0,10687.0,0.0,88.0,2.0,39.0,12.0,4453.0,0.0,0.0,4030.0,1562.0,20800.0,9.483264073452418,13138.0,16188.0,17391.0,231500.0,9108.0,2.260049627791563
